Application,Launcher,Path,Icon Name
QGifer,qgifer,/usr/share//icons/qgifer.xpm,qgifer
QLE,extras-qlequicklisteditor,/usr/share/pixmaps/qle_pix/logoqle2.svg,logoqle2
qPDFview,qpdfview,/usr/share/qpdfview/qpdfview.svg,qpdfview
Qucs,qucs,/usr/share/pixmaps/big.qucs.xpm,qucs
R,r,/usr/share/pixmaps/r.png,rlogo_icon
Raccoon,raccoon,/usr/share/pixmaps/raccoon.svg,raccoon
Reditr,reditr,/opt/reditr/128x128.png,reditr
Remarkable,remarkable,/usr/share/remarkable/media/remarkable.svg,remarkable
Report Bug,reportbug,/usr/share/reportbug/debian-swirl.svg,debian-swirl
Ring GNOME CLient,gnome-ring,/usr/share/icons/hicolor/scalable/apps/ring.svg,ring
Risk of Rain,Risk of Rain,steam,steam_icon_248820
RFB Receitanet,rfb-receitanet,/opt/Programas RFB/Receitanet/imagens/Receitanet.xpm,receitanet
RFB Receitanet Ajuda,rfb-receitanet-ajuda,/opt/Programas RFB/Receitanet/imagens/Ajuda.xpm,receitanet-ajuda
Robomongo,robomongo,robomongo.png,robomongo
RubyMine,jetbrains-rubymine,hardcoded,rubymine
RubyMine,jetbrains-rubymine-ce,hardcoded,rubymine
Scid,scid,/usr/share/pixmaps/scid.xpm,scid
Scilab,scilab,/usr/share/scilab/icons/scilab.xpm,scilab
Scilab CLI,scilab-cli,/usr/share/scilab-cli/icons/scilab.xpm,scilab
Scilab adv CLI,scilab-adv-cli,/usr/share/scilab-cli/icons/scilab.xpm,scilab
ScreenRuler,gnome-screenruler,screenruler-icon-32x32.png,screenruler
Scribus,scribus,/usr/share/scribus/icons/scribus.png,scribus
ScudCloud,scudcloud,/opt/scudcloud/resources/scudcloud.png,scudcloud
SelekTOR,selekTOR,/usr/share/icons/selektoricon.png,selektoricon
SelekTOR,selektor,/opt/selektor/resources/selektoricon.png,selektoricon
SelekTOR,selektor,/usr/share/icons/selektor-app.png,selektoricon
SelekTOR,selektor,/usr/share/icons/selektoricon.png,selektoricon
SelekTOR Proxy Reset,selektor-proxy-reset,/opt/selektor/resources/selektoricon.png,selektoricon
SelekTOR Proxy Reset,selektor-proxy-reset,/usr/share/icons/selektor-app.png,selektoricon
Shank,Shank,steam,steam_icon_6120
Shank 2,Shank 2,steam,steam_icon_6130
Schematic Editor,schematic,layout.png,schematic
Sid Meier's Civilization V,Sid Meier's Civilization V,steam,steam_icon_8930
Sigram,telegram,/opt/sigram/icons/icon.png,sigram
Skype,skype,skype.png,skype
Slingscold,slingscold,/usr/share/icons/slingscold.png,slingscold
SmartHitHG,syntevo-smartgithg-5,/usr/share/smartgithg-5/bin/smartgithg-128.png,smartgithg
SmartGitHG,smartgithg,/opt/smartgithg/bin/smartgithg-256.png,smartgithg
SmartGit,syntevo-smartgit,syntevo-smartgit.png,smartgithg
Snapshot,Snapshot,steam,steam_icon_204220
Soap UI 5.1.3,SoapUI-5.1.3,/opt/SmartBear/SoapUI-5.1.3/.install4j/SoapUI-5.1.3.png,soapui
SportsTracker,SportsTracker,/opt/SportsTracker/SportsTracker.png,sportstracker
Springseed,springseed,/usr/share/pixmaps/springseed/springseed.svg,springseed
SQLiteBrowser,sqlitebrowser,/usr/share/pixmaps/sqlitebrowser.svg,sqlitebrowser
SQuirrel SQL,squirrel-sql,/usr/share/pixmaps/acorn.ico,squirrel-sql
SSH Tunnel Manager,gstm,gSTM.png,gSTM
Starbound,Starbound,steam,steam_icon_211820
Steam Skin Manager,???,/usr/share/pixmaps/steamskinmanager.svg,steamskinmanager
Streamtuner2,streamtuner2,streamtuner2.png,streamtuner2
SuperTuxKart,supertuxkart,/usr/share/pixmaps/supertuxkart_128.png,supertuxkart
SVG Cleaner,svgcleaner,/usr/share/icons/hicolor/scalable/apps/svgcleaner.svg,svgcleaner
Syncthing-GTK,syncthing-gtk,/usr/share/syncthing-gtk/icons/st-logo-128.png,syncthing-gtk
Synergy,synergy,/usr/share/icons/synergy.ico,synergy
Team Viewer,Teamviewer-teamviewer9,/opt/teamviewer9/tv_bin/desktop/teamviewer.png,teamviewer
Team Viewer,teamviewer-teamviewer9,/opt/teamviewer9/tv_bin/desktop/teamviewer.png,teamviewer
Team Viewer,teamviewer-teamviewer10,/opt/teamviewer/tv_bin/desktop/teamviewer.png,teamviewer
Team Viewer,teamviewer-teamviewer10,/opt/teamviewer10/tv_bin/desktop/teamviewer.png,teamviewer
Telegram,telegram,/usr/share/pixmaps/telegram.png,telegram
Telegram,telegram,/opt/telegram/telegram.svg,telegram
Terra Terminal Emulator,terra,/usr/share/terra/image/terra.svg,terra
TimeShift,TimeShift,/usr/share/pixmaps/timeshift.png,timeshift
Tkabber,tkabber,/usr/share/pixmaps/tkabber.xpm,tkabber
Tomate,tomate,/usr/share/tomate/media/tomate.png,tomate
Tor Browser,tor-browser-en,/usr/share/pixmaps/tor-browser-en.png,tor-browser-en
Touchpad Indicator,touchpad-indicator,/usr/share/pixmaps/touchpad-indicator,touchpad-indicator
Trelby,trelby,/opt/trelby/resources/icon256.png,trelby
Trine,Trine,steam,steam_icon_35700
TV-MAXE,tvmaxe,/usr/share/tv-maxe/tvmaxe.png,tvmaxe
UberWriter,uberwriter,/usr/share/uberwriter/media/uberwriter.svg,uberwriter
UberWriter,uberwriter,/opt/extras.ubuntu.com/uberwriter/share/uberwriter/media/uberwriter.svg,uberwriter
Ubuntu Web Browser,webbrowser-app,/usr/share/webbrowser-app/webbrowser-app.png,webbrowser-app
Unison,unison,unison.png,unison
Unison-GTK,unison-gtk,/usr/share/pixmaps/unison-gtk.svg,unison-gtk
Valentina Studio,VStudio,/opt/VStudio/Resources/vstudio.png,vstudio
Variety,variety,/usr/share/variety/media/variety.svg,variety
Variety,variety,/opt/extras.ubuntu.com/variety/share/variety/media/variety.svg,variety
Variety,extras-variety,/opt/extras.ubuntu.com/variety/share/variety/media/variety.svg,variety
Viber,viber,/usr/share/pixmaps/viber.png,viber
Visual Studio,visual-studio-code,hardcoded,visual-studio-code
Viva,viva,viva.png,viva
Warmux,warmux,warmux_128x128.png,warmux
Web Storm,jetbrains-webstorm,hardcoded,webide
Web Storm,jetbrains-webstorm-ce,hardcoded,webide
Widelands,widelands,/usr/share/games/widelands/pics/wl-ico-64.png,widelands
WinUSB,winusbgui,winusbgui-icon.png,winusb
Wireframe Sketcher,wireframesketcherstudio,/usr/share/icons/hicolor/128x128/apps/WireframeSketcher.png,wireframe-sketcher
wxFormBuilder,wxformbuilder,wxformbuilder.png,wxformbuilder
wxMaxima,wxmaxima,/usr/share/wxMaxima/wxmaxima.png,wxmaxima
wxMEdit,wxmedit,/usr/share/pixmaps/wxmedit.png,wxmedit
X-Diagnose,xdiagnose,/usr/share/xdiagnose/icons/microscope.svg,xdiagnose
Xjump,xjump,xjump-icon.xpm,xjump-icon
Xmind,xmind,/usr/local/xmind/xmind-logo-36.png,xmind
Xonotic,xonotic,/usr/share/pixmaps/xonotic.png,xonotic
YATE,yate-qt4,/usr/share/pixmaps/null_team-48.png,yate
YATE,yate-qt4,null_team-48.png,yate
YouTubeDL GUI,youtube-dlg,/usr/share/pixmaps/youtube-dlg.png,youtube-dlg
Zenmap,zenmap,/usr/share/zenmap/pixmaps/zenmap.png,zenmap
Zenmap (root),zenmap-root,/usr/share/zenmap/pixmaps/zenmap.png,zenmap
